preusuel,sexe,annais,nombre
LUCAS,18,36171,117001
EMMA,36,36171,105209
ENZO,20,38183,97980
LÉA,37,38173,96491
HUGO,18,36171,91960
NATHAN,18,36171,89252
MANON,36,36171,88824
CAMILLE,54,72342,87871
LOUIS,18,36171,83448
CHLOÉ,36,36171,82092
THÉO,18,36171,78909
JADE,53,70330,75999
THOMAS,20,38174,74593
GABRIEL,26,44224,73629
MATHIS,18,36171,72546
LÉO,34,52244,72472
JULES,18,36171,69265
SARAH,38,40175,66932
INÈS,37,38178,66800
ARTHUR,18,36171,66599
TOM,18,36171,66203
MAXIME,54,72342,65726
CLARA,36,36171,64429
RAPHAËL,20,38173,63683
LOUISE,36,36171,62039
PAUL,18,36171,61389
CLÉMENT,18,36171,59758
LOLA,36,36171,59758
ETHAN,20,38189,59242
ANTOINE,20,38172,57358
ADAM,44,62299,55757
ALEXANDRE,18,36171,53713
NOAH,54,72342,52732
LUCIE,36,36171,52430
BAPTISTE,18,36171,50774
YANIS,20,38176,49778
AXEL,38,56237,48976
EVA,36,36171,48721
ALEXIS,40,58296,48651
MATHÉO,18,36171,47375
ZOÉ,42,48252,46560
ANAÏS,36,36171,45475
LINA,36,36171,44821
MARIE,37,38176,44678
JULIETTE,36,36171,44352
ROMANE,52,68309,44127
VALENTIN,18,36171,44021
OCÉANE,36,36171,43957
QUENTIN,18,36171,43536
SACHA,54,72342,43493
NOLAN,22,40192,42961
ALICE,36,36171,42781
LÉNA,36,36171,42571
LILOU,39,42184,41678
MAXENCE,54,72342,40363
MATHILDE,37,38173,40009
MOHAMED,18,36171,39255
EVAN,18,36171,38694
LISA,36,36171,38333
ROMAIN,18,36171,38192
LOU,54,72342,37717
AMBRE,37,38182,37190
VICTOR,18,36171,36867
JEANNE,36,36171,36743
CHARLOTTE,36,36171,35956
JULIE,36,36171,35543
LAURA,36,36171,35341
GABIN,18,36171,34370
PAULINE,36,36171,34323
NOA,54,72342,33512
LOUNA,36,36171,33108
NICOLAS,18,36171,33065
RAYAN,24,42198,32907
ANNA,36,36171,32779
CLÉMENCE,36,36171,31682
SAMUEL,18,36171,31339
MARTIN,18,36171,31145
BENJAMIN,18,36171,30385
SIMON,18,36171,30265
CÉLIA,36,36171,30103
LIAM,46,64297,29840
JULIA,36,36171,29832
ADRIEN,18,36171,29744
MATTÉO,18,36171,29718
PIERRE,18,36171,29108
MARGAUX,36,36171,29075
JULIEN,18,36171,28702
ROBIN,18,36171,28495
NINA,36,36171,28394
JUSTINE,36,36171,28084
ALICIA,36,36171,27887
ROSE,36,36171,26051
KYLIAN,18,36171,25926
ELISA,36,36171,25709
MAEL,48,66294,25616
AGATHE,36,36171,25575
DYLAN,18,36171,25553
MARGOT,36,36171,25457
MAELYS,36,36171,25031
MATHIEU,18,36171,24913
MATHYS,18,36171,24774
ELISE,40,44199,24271
ESTEBAN,18,36171,23761
CORENTIN,18,36171,23727
AARON,18,36171,23630
MAEVA,36,36171,23541
MAËL,31,48267,23499
EMILIE,36,36171,23391
TIMÉO,13,26156,23289
LOUANE,41,46210,22854
LENNY,54,72342,22798
NOEMIE,36,36171,22767
ELSA,36,36171,22763
FLORIAN,18,36171,22444
LÉONIE,36,36171,22423
LANA,36,36171,22182
EDEN,54,72342,21529
MILA,36,36171,21357
BASTIEN,18,36171,21341
LORENZO,18,36171,21265
MÉLISSA,36,36171,20673
LUNA,36,36171,20436
TRISTAN,18,36171,20299
