 nom specialite niveau statut "dernier diplome obtenu" "note median" "correcteur median" "note final" "correcteur final" "note totale" resultat
0 Etu1 GI 4 UTC BAC 6.5 Cor6 5.0 Cor4 5.6 F
1 Etu2 GB 2 UTC DUT 6.5 Cor6 13.0 Cor4 10.4 E
2 Etu3 GSU 4 UTC BAC 14.0 Cor2 17.0 Cor3 15.8 B
3 Etu4 GSM 2 UTC BAC 13.0 Cor2 13.5 Cor3 13.3 C
4 Etu5 GI 4 UTC DUT 7.5 Cor2 11.5 Cor3 9.9 Fx
5 Etu6 GM 4 UTC DUT 8.5 Cor4 10.5 Cor5 9.7 Fx
6 Etu7 GB 2 UTC DUT 13.0 Cor7 16.5 Cor6 15.1 B
7 Etu8 GI 2 UTC "AUTRE 1ER CYCLE" 7.5 Cor7 16.0 Cor6 12.6 D
8 Etu9 GSU 4 UTC BAC 12.5 Cor7 17.0 Cor6 15.2 B
9 Etu10 GB 1 UTC BAC 13.5 Cor5 16.5 Cor7 15.3 B
10 Etu11 GSU 2 UTC CPGE 17.5 Cor8 19.0 Cor5 18.4 A
11 Etu12 GM 4 UTC DUT 10.5 Cor5 9.0 Cor7 9.6 Fx
12 Etu13 GM 2 UTC DUT 9.0 Cor4 4.5 Cor5 6.3 F
13 Etu14 TC 4 UTC BAC 16.5 Cor2 11.5 Cor3 13.5 C
14 Etu15 GB 2 UTC BTS 7.0 Cor5    ABS
15 Etu16 GI 3 UTC BAC 11.0 Cor1 9.0 Cor1 9.8 Fx
16 Etu17 GB 4 UTC BAC 12.5 Cor7 18.0 Cor6 15.8 B
17 Etu18 GB 1 UTC BAC 9.5 Cor2 10.0 Cor3 9.8 Fx
18 Etu19 GI 1 UTC BAC 9.5 Cor7 15.0 Cor6 12.8 D
19 Etu20 GI 2 UTC DUT 10.5 Cor6 4.5 Cor4 6.9 F
20 Etu21 GP 2 UTC CPGE 11.0 Cor8 13.0 Cor5 12.2 D
21 Etu22 GB 2 UTC CPGE 12.5 Cor8 11.5 Cor5 11.9 D
22 Etu23 GSM 2 UTC CPGE 8.5 Cor7 18.0 Cor6 14.2 C
23 Etu24 GSM 2 UTC DUT 10.0 Cor5 12.0 Cor7 11.2 E
24 Etu25 GI 1 UTC BAC 20.0 Cor5 9.5 Cor7 13.7 C
25 Etu26 GSU 4 UTC BTS 15.0 Cor5 15.5 Cor7 15.3 B
26 Etu27 GI 5 Echange  1.5 Cor1 2.0 Cor1 1.8 F
27 Etu28 GB 2 UTC BAC 8.0 Cor2 16.0 Cor3 12.8 D
28 Etu29 GSM 2 UTC DUT 14.5 Cor8 5.5 Cor5 9.1 F
29 Etu30 GI 2 UTC BAC 12.0 Cor6 12.5 Cor4 12.3 D
30 Etu31 GSU 1 UTC BAC 16.0 Cor7 14.5 Cor8 15.1 B
31 Etu32 GM 2 UTC DUT 12.5 Cor4 13.0 Cor5 12.8 D
32 Etu33 GB 4 UTC DUT 9.0 Cor4 15.5 Cor6 12.9 D
33 Etu34 GB 2 UTC CPGE 8.5 Cor1 9.5 Cor1 9.1 Fx
34 Etu35 GM 2 UTC BAC 12.5 Cor6 16.5 Cor7 14.9 C
35 Etu36 GM 6 UTC DUT 6.0 Cor2 12.0 Cor3 9.6 Fx
36 Etu37 GM 1 UTC "ETRANGER SUPERIEUR" 18.0 Cor2 16.5 Cor3 17.1 A
37 Etu38 GI 4 UTC BAC 8.5 Cor7 14.5 Cor8 12.1 D
38 Etu39 GSU 1 UTC DUT 12.0 Cor7 17.5 Cor6 15.3 B
39 Etu40 GM 4 UTC DUT 1.5 Cor5    ABS
40 Etu41 GM 2 UTC CPGE 17.0 Cor8    ABS
41 Etu42 GP 2 UTC BAC 10.5 Cor4 15.0 Cor6 13.2 C
42 Etu43 GI 1 UTC BAC 10.5 Cor7 11.5 Cor6 11.1 E
43 Etu44 GSM 2 UTC DUT 9.5 Cor1 10.0 Cor1 9.8 Fx
44 Etu45 GSM 4 UTC DUT 14.0 Cor5 10.0 Cor7 11.6 D
45 Etu46 GSM 1 UTC BAC 15.0 Cor7 15.0 Cor8 15.0 B
46 Etu47 GP 3 UTC BAC 5.5 Cor7 18.0 Cor6 13.0 C
47 Etu48 GI 4 UTC DUT 6.5 Cor6 15.5 Cor4 11.9 D
48 Etu49 GSM 4 UTC "AUTRE 1ER CYCLE" 8.0 Cor6 12.5 Cor4 10.7 E
49 Etu50 GI 1 UTC BAC 8.5 Cor4 14.5 Cor6 12.1 D
50 Etu51 GM 4 UTC "ETRANGER SUPERIEUR" 13.5 Cor7 4.5 Cor6 8.1 F
51 Etu52 GM 4 UTC CPGE 16.5 Cor6 19.5 Cor4 18.3 A
52 Etu53 GI 1 UTC BAC 12.5 Cor2 18.5 Cor3 16.1 B
53 Etu54 GB 1 UTC BAC 15.5 Cor5 17.5 Cor7 16.7 A
54 Etu55 GM 2 UTC BAC 15.0 Cor6 13.0 Cor4 13.8 C
55 Etu56 GM 2 UTC DUT 16.0 Cor1 14.0 Cor1 14.8 C
56 Etu57 GM 1 UTC BAC 13.0 Cor5 16.5 Cor7 15.1 B
57 Etu58 GB 2 UTC DUT 13.0 Cor6 14.5 Cor4 13.9 C
58 Etu59 GSM 4 UTC BAC 17.0 Cor6 18.0 Cor4 17.6 A
59 Etu60 GSU 2 UTC BAC 15.0 Cor2 16.5 Cor3 15.9 B
60 Etu61 GSM 2 UTC DUT 10.0 Cor6 18.0 Cor4 14.8 C
61 Etu62 GM 2 UTC BAC 9.0 Cor4 10.0 Cor5 9.6 Fx
62 Etu63 ISS 2 UTC "ETRANGER SUPERIEUR" 13.5 Cor6 17.0 Cor4 15.6 B
63 Etu64 GM 4 UTC BAC 9.0 Cor4 9.5 Cor5 9.3 Fx
64 Etu65 GI 2 UTC DUT 5.0 Cor7    ABS
65 Etu66 GI 2 UTC DUT 11.0 Cor6 9.5 Cor4 10.1 E
66 Etu67 GB 2 UTC BAC 15.5 Cor2 16.0 Cor3 15.8 B
67 Etu68 GI 4 UTC BAC 14.0 Cor5 17.0 Cor8 15.8 B
68 Etu69 GM 2 UTC BAC 14.5 Cor6 17.5 Cor4 16.3 B
69 Etu70 GSM 4 UTC DUT 7.5 Cor1 14.0 Cor1 11.4 E
70 Etu71 GSM 1 UTC BAC 13.5 Cor6 11.5 Cor4 12.3 D
