Dernier diplôme obtenu,Branche,Semestre,Correcteur médian,Note médian,Note TP,Correcteur final,Note final,Note ECTS
DUT,IM,2,Cor0,7.25,15.2,Cor3,4.5,D
BACCALAURÉAT,TC,4,Cor0,5.75,7.2,Cor3,5.5,F
DUT,IM,4,Cor0,11.75,16.8,Cor3,16.0,B
LICENCE ET LICENCE LMD,IM,4,Cor0,4.5,11.2,Cor3,4.5,F
BACCALAURÉAT,GB,2,Cor0,5.75,12.0,Cor3,6.0,E
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,4,Cor0,13,15.2,Cor3,9.5,B
BACCALAURÉAT,GB,2,Cor0,11.5,14.4,Cor3,9.0,C
BACCALAURÉAT,GSU,4,Cor0,9.5,19.2,Cor3,11.5,B
DUT,IM,2,Cor0,3.5,10.4,Cor3,9.0,E
BACCALAURÉAT,GI,4,Cor0,10.25,16.8,Cor3,17.5,B
DUT,GB,2,Cor0,7,13.6,Cor3,8.5,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GI,2,Cor0,6.5,14.4,Cor3,7.0,D
BACCALAURÉAT,GI,2,Cor0,6.25,10.4,Cor3,5.5,E
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GI,4,Cor0,6.25,15.2,Cor3,12.0,C
DUT,IM,2,Cor0,3.25,8.0,Cor3,1.0,F
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,2,Cor0,5.5,12.0,Cor3,8.0,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,2,Cor0,8,10.4,Cor3,8.5,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GB,2,Cor0,6,15.2,Cor3,6.5,D
DUT,IM,2,Cor0,9.5,12.0,Cor3,11.5,C
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GB,4,Cor0,4.5,8.0,Cor3,6.0,F
BACCALAURÉAT,IM,2,Cor0,8.5,13.6,Cor3,8.5,C
DUT,IM,2,Cor0,7,8.8,Cor3,7.5,D
LICENCE ET LICENCE LMD,GSU,4,Cor0,8.25,10.4,Cor3,9.0,D
DUT,GI,2,Cor0,10.5,14.4,Cor3,13.5,B
BACCALAURÉAT,TC,4,Cor0,7,10.4,Cor2,8.0,D
DUT,GI,3,Cor0,7.5,7.2,Cor2,6.5,E
LICENCE ET LICENCE LMD,GI,4,Cor0,8.5,14.4,Cor2,4.5,D
BACCALAURÉAT,GI,3,Cor0,7,11.2,Cor2,10.0,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GI,4,Cor0,7,12.0,Cor2,11.0,C
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GP,4,Cor0,9.5,14.4,Cor2,7.5,C
BACCALAURÉAT,GP,4,Cor0,4,12.8,Cor2,13.5,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GI,2,Cor0,8.5,8.0,Cor2,11.5,C
DUT,GP,2,Cor0,3.5,11.2,Cor2,9.0,E
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GP,4,Cor0,17,12.8,Cor2,14.0,A
DUT,GI,2,Cor0,4,16.0,Cor2,6.0,E
BACCALAURÉAT,IM,2,Cor0,10,15.2,Cor2,13.0,B
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,1,Cor0,9,13.6,Cor2,6.0,D
BACCALAURÉAT,IM,2,Cor0,16.5,12.8,Cor2,10.5,B
DUT,GI,2,Cor0,3.25,15.2,Cor2,5.5,F
BACCALAURÉAT,IM,2,Cor0,13,11.2,Cor2,5.0,C
BACCALAURÉAT,IM,2,Cor0,14.5,18.4,Cor2,16.5,A
BACCALAURÉAT,IM,2,Cor0,13,17.6,Cor2,15.5,A
BACCALAURÉAT,IM,4,Cor0,11.75,13.6,Cor2,9.0,C
BACCALAURÉAT,GI,2,Cor0,14.5,15.2,Cor2,10.5,B
BACCALAURÉAT,GI,2,Cor0,11.5,16.8,Cor2,9.0,B
BACCALAURÉAT,GSU,4,Cor0,5.5,4.8,Cor2,3.0,F
DUT,GI,4,Cor0,5.5,13.6,Cor2,3.0,E
BTS,GB,4,Cor0,6.5,4.8,Cor2,11.5,D
BACCALAURÉAT,GI,4,Cor0,12.5,12.8,Cor2,7.0,C
DUT,GI,4,Cor1,7,14.4,Cor0,7.5,D
BACCALAURÉAT,IM,1,Cor1,9.5,13.6,Cor0,10.0,C
BACCALAURÉAT,TC,4,Cor1,19,17.6,Cor0,12.0,A
DUT,GI,4,Cor1,8.25,16.0,Cor0,5.5,D
BTS,GB,2,Cor1,10.5,19.2,Cor0,7.5,C
DUT,GB,2,Cor1,0,,Cor0,,F
DUT,IM,4,Cor1,9.5,19.2,Cor0,12.5,B
DIPLOME ETAB ETRANGER SUPERIEUR,GI,3,Cor1,8,11.2,Cor0,7.5,D
BACCALAURÉAT,GI,2,Cor1,10.5,12.0,Cor0,8.5,C
BACCALAURÉAT,GB,1,Cor1,11.75,8.8,Cor0,9.0,C
BACCALAURÉAT,IM,4,Cor1,12,14.4,Cor0,14.0,B
DIPLOME ETAB ETRANGER SECONDAIRE,TC,5,Cor1,0.5,,Cor0,0.0,F
BACCALAURÉAT,GB,2,Cor1,12.5,13.6,Cor0,11.0,B
DUT,GSU,2,Cor1,4.5,4.8,Cor0,5.0,F
BACCALAURÉAT,IM,2,Cor1,13,10.4,Cor0,9.0,C
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GB,2,Cor1,8.75,9.6,Cor0,11.0,C
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,4,Cor1,5.25,13.6,Cor0,9.0,D
BACCALAURÉAT,IM,3,Cor1,4.75,8.0,Cor0,2.0,F
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,2,Cor1,11,12.0,Cor0,10.0,C
BACCALAURÉAT,GB,2,Cor1,4.25,10.4,Cor0,5.5,F
DIPLOME ETAB ETRANGER SECONDAIRE,GI,1,,ABS,,,,ABS
BACCALAURÉAT,IM,2,Cor1,10.5,11.2,Cor0,8.0,C
AUTRE DIPLOME UNIVERSITAIRE DE 1ER CYCLE HORS DUT,GSU,1,Cor1,12.5,10.4,Cor0,15.0,B
BACCALAURÉAT,GB,4,Cor1,15.25,18.4,Cor0,13.5,A
DUT,GP,4,Cor1,2.25,16.0,Cor0,5.5,F
BACCALAURÉAT,IM,4,Cor1,13.25,10.4,Cor0,11.0,B
DUT,GI,4,Cor2,7,12.8,Cor0,11.0,C
DUT,IM,2,Cor2,9.5,16.8,Cor0,10.5,C
BACCALAURÉAT,IM,2,Cor2,12,16.0,Cor0,13.5,B
BACCALAURÉAT,GI,2,Cor2,23,19.2,Cor0,18.0,A
LICENCE ET LICENCE LMD,GSU,2,Cor2,12.5,15.2,Cor0,11.5,B
BACCALAURÉAT,GSU,1,,ABS,,,,ABS
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GB,2,Cor2,12.5,18.4,Cor0,13.0,B
